country,target,exp_var,cont_var
Afghanistan,44.06497,2065.03623501599,106.701080322266
Afghanistan,44.20343,2033.80438893717,103.996162414551
Afghanistan,37.13062,2058.4002210698,102.175788879395
Afghanistan,38.93563,2057.06797755329,102.486473083496
Afghanistan,39.25519,2068.26590413364,103.534523010254
Albania,67.74847,13671.4884222978,104.81273651123
Albania,66.99561,13323.7533559132,106.993423461914
Albania,66.8377,12770.9750370811,107.046600341797
Albania,64.16093,12291.8733773928,105.553863525391
Albania,58.07559,11878.4880933446,105.542976379395
Algeria,48.59758,11510.5570882585,108.845848083496
Algeria,48.49803,11642.1983450506,109.882820129395
Algeria,46.22686,11737.4161588301,111.76448059082
Algeria,46.10981,11826.1664161029,113.830200195313
Algeria,44.2486,11696.9652290603,115.877838134766
Antigua and Barbuda,60.28342,21548.7250080262,104.56028493245434
Antigua and Barbuda,59.85514,21030.3950717884,105.021270751953
Antigua and Barbuda,59.79669,19840.2840357026,103.668960571289
Antigua and Barbuda,58.80632,19419.58079882,104.56028493245434
Antigua and Barbuda,59.23927,18594.2616238259,104.990623474121
Argentina,58.96151,22063.9043717551,109.516296386719
Argentina,58.18388,22759.3985583341,109.659172058105
Argentina,57.31005,23597.117752839,109.74146270752
Argentina,57.2443,23189.5274451329,110.739181518555
Argentina,56.73295,23933.8866120953,111.303413391113
Armenia,74.49401,13653.7633812861,91.8450622558594
Armenia,73.19187,12715.1089539751,92.7152481079102
Armenia,71.49433,12115.1392902637,94.0835189819336
Armenia,70.63154,11303.0678498177,94.5178985595703
Armenia,69.1418,11321.3325403745,95.0036468505859
Australia,81.21506,49455.5385080697,99.7271499633789
Australia,80.70552,49151.6887104846,100.160591125488
Australia,80.76007,48482.6474614392,100.338981628418
Australia,80.22369,48197.431189174,100.744407653809
Australia,80.38389,47636.319641906,101.599906921387
Austria,78.74549,55833.3156857561,103.104927062988
Austria,78.73995,55297.6182880367,103.316848754883
Austria,78.70694,54169.9639937065,103.113151550293
Austria,78.85646,53269.3062047537,102.264358520508
Austria,78.81665,52798.0994607541,101.997482299805
Azerbaijan,76.70888,14439.3014032972,97.9353485107422
Azerbaijan,73.5854,14209.6494059309,99.7220993041992
Azerbaijan,66.82696,14121.4069355591,103.294097900391
Azerbaijan,64.25089,14238.7841366188,106.431739807129
Azerbaijan,65.4481,14853.9105525729,106.601486206055
Bahrain,76.02665,45060.4237448845,98.0279083251953
Bahrain,70.13951,46200.445580954,99.3630523681641
Bahrain,69.09366,47709.7780156397,101.213088989258
Bahrain,68.7147,47937.7090620549,101.093132019043
Bahrain,66.6415,48110.7341930587,101.200508117676
Bangladesh,45.04865,4753.72659686814,115.7275009155275
Bangladesh,42.46602,4440.85547046826,116.466339111328
Bangladesh,41.5632,4160.70332471531,114.988662719727
Bangladesh,41.01625,3920.14450723583,115.7275009155275
Bangladesh,40.90786,3700.11082057504,115.7275009155275
Barbados,57.90615,15639.0478442375,100.337913513184
Barbados,57.6745,15674.9043195592,99.3513488769531
Barbados,57.67127,15789.0411622149,97.7696762084961
Barbados,57.76071,15738.0786618241,97.2829666137695
Barbados,57.67895,15382.7656890531,95.917236328125
Belarus,74.29113,19283.1171477055,100.67320632934587
Belarus,74.35306,18885.2354999668,100.500213623047
Belarus,73.57749,18280.1989190642,101.965789794922
Belarus,72.62337,17822.6065945418,101.077041625977
Belarus,68.72922,18307.5196678406,99.1497802734375
Belgium,74.98904,51742.7263830791,102.619506835938
Belgium,74.74503,51110.9584679336,103.350700378418
Belgium,72.18146,50442.2705419623,103.905570983887
Belgium,72.4092,49828.9629137518,103.317771911621
Belgium,72.42806,49455.4413365318,103.155807495117
Belize,55.47444,7251.9213512161,110.490310668945
Belize,55.28901,7261.87028738671,111.696876525879
Belize,55.27374,7193.63430990343,113.230613708496
Belize,55.36968,7207.00518379997,114.484161376953
Belize,55.36697,7358.58229184617,112.888328552246
Benin,52.40404,3287.30953781986,116.708587646484
Benin,51.71272,3160.7806702321,121.958251953125
Benin,51.57576,3044.51715620319,126.646110534668
Benin,49.72104,2961.4404159762,130.902282714844
Benin,48.65854,2945.97022066349,132.466842651367
Bhutan,65.97305,11832.1582535521,102.092067718506
Bhutan,65.96848,11348.4419521,100.139678955078
Bhutan,65.7664,11142.4746724654,101.334136962891
Bhutan,64.99022,10775.1903107625,102.660682678223
Bhutan,64.86482,10086.0727954667,104.233772277832
Bolivia,51.65574,8724.47418740562,98.5277099609375
Bolivia,51.5617,8655.53149780443,98.1509170532227
Bolivia,50.97713,8423.69755965624,97.5273590087891
Bolivia,50.2251,8202.54423164277,96.5551300048828
Bolivia,49.75552,7984.41198272424,95.9084396362305
Brazil,59.08307,14763.8716968734,111.965782165527
Brazil,58.59449,14668.2561636292,114.476531982422
Brazil,55.6207,14524.6135408175,115.971778869629
Brazil,55.22357,14451.1528421912,114.520278930664
Brazil,55.61506,15064.1760689478,113.369972229004
Brunei Darussalam,70.06387,62098.0113423415,100.099502563477
Brunei Darussalam,69.63482,60389.1846472589,103.15161895752
Brunei Darussalam,67.68007,60994.5315563275,104.857711791992
Brunei Darussalam,62.85225,60867.2918657417,107.122817993164
Brunei Darussalam,57.45747,63147.4834900843,105.527549743652
Bulgaria,71.97405,23191.5745846967,85.9441604614258
Bulgaria,71.80724,22208.4522754771,87.4422073364258
Bulgaria,71.69407,21387.2766420381,89.3337707519531
Bulgaria,71.59242,20513.10095142,91.0832214355469
Bulgaria,72.46018,19620.1539761978,94.1982727050781
Burkina Faso,51.40019,2178.3228791324,94.5357131958008
Burkina Faso,51.26807,2120.33026783506,96.0903701782227
Burkina Faso,51.15106,2044.38698676758,93.6531295776367
Burkina Faso,50.92322,1981.429813531,91.11083984375
Burkina Faso,50.6503,1925.33207544524,88.3661575317383
Burundi,46.77393,751.664152760383,118.960243225098
Burundi,46.47561,761.524125241416,121.421562194824
Burundi,45.91224,773.572858670972,123.859619140625
Burundi,45.68405,794.60427137057,128.042053222656
Burundi,45.57052,825.20566069269,130.903427124023
Cabo Verde,55.03925,7171.8264247567,100.888069152832
Cabo Verde,54.00831,6864.1852980816,104.027969360352
Cabo Verde,53.98064,6643.17989182913,103.282920837402
Cabo Verde,53.40924,6482.72154971014,103.907470703125
Cabo Verde,53.42938,6266.88177858088,105.496841430664
Cambodia,53.84483,4388.80090863468,106.474739074707
Cambodia,53.7971,4159.33819437034,107.414848327637
Cambodia,53.38889,3928.37393363195,107.813056945801
Cambodia,53.15749,3733.52462620965,110.187652587891
Cambodia,52.87481,3546.33938731031,117.078483581543
Cameroon,46.09974,3642.27627296724,105.747840881348
Cameroon,46.00492,3603.54827506808,103.402122497559
Cameroon,45.05227,3554.52153858313,110.320678710938
Cameroon,41.7675,3524.44304142566,116.117301940918
Cameroon,41.89121,3458.69271277942,116.210441589355
Canada,79.64043,49006.7431073981,100.989753723145
Canada,79.6798,48796.8137814007,101.501091003418
Canada,79.30059,48317.0965785817,100.94367980957
Canada,79.54094,47457.5853457244,101.023872375488
Canada,79.75597,47522.1406673151,102.485076904297
Chad,36.93568,1579.62610063652,89.1911392211914
Chad,36.66065,1576.32111465904,89.7342834472656
Chad,35.52606,1587.03232784726,78.5740432739258
Chad,36.00847,1687.05356916322,86.8468704223633
Chad,35.29956,1857.10786365964,91.5831298828125
Chile,72.58023,24967.5802124165,102.370536804199
Chile,72.32025,25028.9099914542,102.179222106934
Chile,71.951,24470.7036236997,101.430160522461
Chile,71.58185,24531.3577390249,100.978256225586
Chile,71.17517,24440.4152640857,100.684837341309
China,77.9313,16092.300767051,101.925720214844
China,73.95071,15242.9858575834,100.222747802734
China,65.20491,14344.4212394424,99.4048080444336
China,64.63553,13487.8224816787,97.9619216918945
China,63.12106,12691.8215526921,96.318603515625
Colombia,70.05964,14585.3024908488,114.000991821289
Colombia,69.24335,14314.8555765268,114.526657104492
Colombia,69.03524,14171.3205005648,114.983268737793
Colombia,69.1652,14194.515663803,116.233703613281
Colombia,68.85918,14095.748356648,115.231887817383
Comoros,47.87291,3059.49172597369,99.47711181640625
Comoros,47.01396,3066.83784677933,99.5066299438477
Comoros,46.87233,3032.26213308112,99.4475936889648
Comoros,46.37003,2987.97027465784,99.47711181640625
Comoros,46.24941,2959.49809656739,99.47711181640625
"Congo, Dem. Rep.",36.20973,1097.9488401154,113.21834564209
"Congo, Dem. Rep.",35.23313,1085.89368770943,118.459609985352
"Congo, Dem. Rep.",34.57002,1059.81076228861,113.21834564209
"Congo, Dem. Rep.",34.39028,1055.57291467758,113.21834564209
"Congo, Dem. Rep.",34.35533,1065.24257721582,107.977081298828
Costa Rica,69.2383,20805.343678104,116.182289123535
Costa Rica,68.83187,20559.8604252658,113.294288635254
Costa Rica,69.30028,20347.0347715842,110.833473205566
Costa Rica,67.67937,19736.6653042295,111.761138916016
Costa Rica,67.67451,19141.6830724515,111.297950744629
Cote d'Ivoire,60.68796,5212.5540214586,100.315338134766
Cote d'Ivoire,58.34417,5033.47882607719,99.7997512817383
Cote d'Ivoire,52.98796,4830.75051522678,98.3680191040039
Cote d'Ivoire,50.95707,4615.70925676518,95.8866882324219
Cote d'Ivoire,50.32956,4417.15021465621,90.6590423583984
Croatia,73.62096,28753.5162699607,93.2231063842773
Croatia,72.95462,27799.8433225132,94.6030502319336
Croatia,72.60762,26800.118975807,96.4710311889648
Croatia,72.15494,25599.8436234435,98.200569152832
Croatia,71.35304,24562.453617545,100.579231262207
Cyprus,73.35105,40226.8094909879,100.477699279785
Cyprus,72.77735,39559.4879646749,99.7954406738281
Cyprus,72.28343,38050.8577356233,99.3066864013672
Cyprus,72.31415,36523.7332079973,98.5455093383789
Cyprus,71.95361,34472.2985065115,99.3001174926758
Czech Republic,76.34054,40981.0565086432,100.296669006348
Czech Republic,76.322,39932.992193117,100.508987426758
Czech Republic,76.42162,38824.8879170919,100.670989990234
Czech Republic,76.38834,37014.9592935816,100.208877563477
Czech Republic,76.10923,36168.4185553861,99.5166778564453
